layer,probe_auc,macro_auc,llm_auc,margin
15,0.8941,0.9086,0.5555,0.3386
16,0.9,0.9116,0.5555,0.3445
17,0.8984,0.9111,0.5555,0.3429
18,0.8973,0.9094,0.5555,0.3419
