layer,probe_auc,macro_auc,llm_auc,margin
15,0.8613,0.8551,0.4346,0.4267
16,0.8623,0.8545,0.4346,0.4277
17,0.8686,0.8572,0.4346,0.434
18,0.8678,0.86,0.4346,0.4332
