layer,probe_auc,macro_auc,llm_auc,margin
0,0.5,0.5,0.503,-0.003
1,0.5509,0.5501,0.503,0.048
2,0.569,0.5747,0.503,0.0661
3,0.6137,0.6395,0.503,0.1107
4,0.6576,0.6873,0.503,0.1546
5,0.6804,0.7089,0.503,0.1774
6,0.6863,0.7116,0.503,0.1834
7,0.691,0.7193,0.503,0.1881
8,0.7091,0.732,0.503,0.2062
9,0.7147,0.7464,0.503,0.2117
10,0.7197,0.7563,0.503,0.2167
11,0.7186,0.7554,0.503,0.2157
12,0.7309,0.7678,0.503,0.2279
13,0.7362,0.7727,0.503,0.2332
14,0.7489,0.7801,0.503,0.246
15,0.764,0.8109,0.503,0.261
16,0.7856,0.8204,0.503,0.2827
17,0.8235,0.8591,0.503,0.3206
18,0.8325,0.8666,0.503,0.3295
19,0.8566,0.8851,0.503,0.3537
20,0.8794,0.8998,0.503,0.3764
21,0.8909,0.906,0.503,0.3879
22,0.8914,0.9096,0.503,0.3884
23,0.8936,0.9107,0.503,0.3906
24,0.8954,0.9112,0.503,0.3924
25,0.8924,0.9092,0.503,0.3895
26,0.8916,0.9088,0.503,0.3886
27,0.8892,0.9071,0.503,0.3863
28,0.8913,0.9083,0.503,0.3883
29,0.8892,0.9049,0.503,0.3863
30,0.8882,0.9047,0.503,0.3853
31,0.8877,0.9056,0.503,0.3848
32,0.886,0.9059,0.503,0.383
33,0.8862,0.9051,0.503,0.3832
34,0.8867,0.9049,0.503,0.3837
35,0.8853,0.9028,0.503,0.3824
