layer,probe_auc,macro_auc,llm_auc,margin
15,0.8548,0.8567,0.6002,0.2546
16,0.8541,0.8546,0.6002,0.2538
17,0.8537,0.8456,0.6002,0.2535
18,0.8513,0.8425,0.6002,0.2511
