threshold,tp,fp,tn,fn,precision,recall,f1
0.35,57,37,116,67,0.6064,0.4597,0.5229
0.4,52,36,117,72,0.5909,0.4194,0.4906
0.45,48,31,122,76,0.6076,0.3871,0.4729
0.5,40,29,124,84,0.5797,0.3226,0.4145
0.55,37,26,127,87,0.5873,0.2984,0.3957
0.6,30,23,130,94,0.566,0.2419,0.339
0.65,24,18,135,100,0.5714,0.1935,0.2892
0.7,17,16,137,107,0.5152,0.1371,0.2166
