threshold,tp,fp,tn,fn,precision,recall,f1
0.35,69,389,330,16,0.1507,0.8118,0.2541
0.4,66,366,353,19,0.1528,0.7765,0.2553
0.45,63,351,368,22,0.1522,0.7412,0.2525
0.5,62,335,384,23,0.1562,0.7294,0.2573
0.55,58,316,403,27,0.1551,0.6824,0.2527
0.6,55,295,424,30,0.1571,0.6471,0.2529
0.65,52,276,443,33,0.1585,0.6118,0.2518
0.7,49,260,459,36,0.1586,0.5765,0.2487
