threshold,tp,fp,tn,fn,precision,recall,f1
0.35,2,2,151,122,0.5,0.0161,0.0312
0.4,2,4,149,122,0.3333,0.0161,0.0308
0.45,9,7,146,115,0.5625,0.0726,0.1286
0.5,14,15,138,110,0.4828,0.1129,0.183
0.55,24,20,133,100,0.5455,0.1935,0.2857
0.6,30,26,127,94,0.5357,0.2419,0.3333
0.65,37,36,117,87,0.5068,0.2984,0.3756
0.7,47,50,103,77,0.4845,0.379,0.4253
