system,train_variant,dataset,threshold,macro_f1,enrichable_f1,corpus_f1,corpus_prec,corpus_rec,fp_rate,n_enrichable,n_total_plans,avg_iterations
Probe 2,tp3_dependency,CaptainCook,0.55,0.1501,0.2252,0.3038,0.3871,0.25,0.0607,14,21,10.0
Probe 2,tp3_dependency,CaptainCook,0.6,0.1369,0.2054,0.3143,0.5,0.2292,0.0324,14,21,10.0
Probe 2,tp3_dependency,CaptainCook,0.65,0.1098,0.1646,0.1667,0.4167,0.1042,0.0205,14,21,10.0
Probe 2,tp3_dependency,CaptainCook,0.7,0.1206,0.181,0.1786,0.625,0.1042,0.0079,14,21,10.0
Probe 2,tp4_flexibility,ProScript,0.35,0.2123,0.4954,0.3537,0.2458,0.6304,0.2259,39,91,10.0
Probe 2,tp4_flexibility,ProScript,0.4,0.1929,0.4501,0.3562,0.26,0.5652,0.187,39,91,10.0
Probe 2,tp4_flexibility,ProScript,0.45,0.1859,0.4338,0.3582,0.2727,0.5217,0.1613,39,91,10.0
Probe 2,tp4_flexibility,ProScript,0.5,0.1694,0.3954,0.3548,0.2821,0.4783,0.1425,39,91,10.0
Probe 2,tp4_flexibility,ProScript,0.55,0.1709,0.3988,0.3761,0.3099,0.4783,0.1269,39,91,10.0
Probe 2,tp4_flexibility,ProScript,0.6,0.1764,0.4116,0.4037,0.3492,0.4783,0.1073,39,91,10.0
Probe 2,tp4_flexibility,ProScript,0.65,0.1511,0.3526,0.3636,0.3396,0.3913,0.089,39,91,10.0
Probe 2,tp4_flexibility,ProScript,0.7,0.1346,0.3142,0.3516,0.3556,0.3478,0.074,39,91,10.0
Probe 2,tp4_flexibility,CaptainCook,0.35,0.3048,0.4571,0.4505,0.3968,0.5208,0.1276,14,21,10.0
Probe 2,tp4_flexibility,CaptainCook,0.4,0.3156,0.4735,0.46,0.4423,0.4792,0.0963,14,21,10.0
Probe 2,tp4_flexibility,CaptainCook,0.45,0.3167,0.4751,0.4565,0.4773,0.4375,0.0772,14,21,10.0
Probe 2,tp4_flexibility,CaptainCook,0.5,0.2463,0.3694,0.375,0.4688,0.3125,0.0609,14,21,10.0
Probe 2,tp4_flexibility,CaptainCook,0.55,0.1986,0.298,0.3333,0.5,0.25,0.0428,14,21,10.0
Probe 2,tp4_flexibility,CaptainCook,0.6,0.1175,0.1762,0.2333,0.5833,0.1458,0.0193,14,21,10.0
Probe 2,tp4_flexibility,CaptainCook,0.65,0.127,0.1905,0.2414,0.7,0.1458,0.0119,14,21,10.0
Probe 2,tp4_flexibility,CaptainCook,0.7,0.1179,0.1769,0.2105,0.6667,0.125,0.0119,14,21,10.0
LLM direct,—,ProScript,0.35,0.011,0.0256,0.037,0.125,0.0217,0.0172,39,91,
LLM direct,—,ProScript,0.4,0.022,0.0513,0.069,0.1667,0.0435,0.0264,39,91,
LLM direct,—,ProScript,0.45,0.044,0.1026,0.1449,0.2174,0.1087,0.047,39,91,
LLM direct,—,ProScript,0.5,0.0604,0.141,0.1667,0.1842,0.1522,0.0779,39,91,
LLM direct,—,ProScript,0.55,0.0686,0.16,0.1835,0.1587,0.2174,0.1322,39,91,
LLM direct,—,ProScript,0.6,0.0814,0.1899,0.1875,0.1463,0.2609,0.1783,39,91,
LLM direct,—,ProScript,0.65,0.0762,0.1779,0.1842,0.1321,0.3043,0.234,39,91,
LLM direct,—,ProScript,0.7,0.1235,0.2882,0.2165,0.1419,0.4565,0.3186,39,91,
LLM direct,—,CaptainCook,0.35,0.0,0.0,0.0,0.0,0.0,0.0,14,21,
LLM direct,—,CaptainCook,0.4,0.0,0.0,0.0,0.0,0.0,0.0,14,21,
LLM direct,—,CaptainCook,0.45,0.0,0.0,0.0,0.0,0.0,0.0,14,21,
LLM direct,—,CaptainCook,0.5,0.0317,0.0476,0.0408,1.0,0.0208,0.0,14,21,
LLM direct,—,CaptainCook,0.55,0.0683,0.1024,0.1481,0.6667,0.0833,0.0071,14,21,
LLM direct,—,CaptainCook,0.6,0.1067,0.1601,0.2154,0.4118,0.1458,0.036,14,21,
LLM direct,—,CaptainCook,0.65,0.2249,0.3374,0.3913,0.4091,0.375,0.0822,14,21,
