layer,probe_auc,macro_auc,llm_auc,margin
0,0.5,0.5,0.5699,-0.0699
1,0.5613,0.566,0.5699,-0.0086
2,0.5794,0.5886,0.5699,0.0095
3,0.6273,0.6573,0.5699,0.0574
4,0.6679,0.6976,0.5699,0.0979
5,0.6806,0.713,0.5699,0.1107
6,0.6898,0.724,0.5699,0.1198
7,0.6972,0.7408,0.5699,0.1273
8,0.7278,0.7673,0.5699,0.1579
9,0.7499,0.7967,0.5699,0.1799
10,0.7732,0.8235,0.5699,0.2033
11,0.8023,0.8427,0.5699,0.2323
12,0.8426,0.8737,0.5699,0.2727
13,0.8673,0.8872,0.5699,0.2973
14,0.875,0.8911,0.5699,0.3051
15,0.8778,0.8929,0.5699,0.3079
16,0.877,0.8948,0.5699,0.307
17,0.876,0.8913,0.5699,0.306
18,0.8717,0.8901,0.5699,0.3017
19,0.8717,0.8903,0.5699,0.3018
20,0.8713,0.89,0.5699,0.3014
21,0.8681,0.8885,0.5699,0.2981
22,0.8657,0.8876,0.5699,0.2957
23,0.8643,0.887,0.5699,0.2944
24,0.8613,0.8856,0.5699,0.2913
25,0.8603,0.8846,0.5699,0.2904
26,0.8599,0.8825,0.5699,0.2899
27,0.8526,0.8796,0.5699,0.2827
